iter	Passed	Remaining
0	327	163476
1	418	104151
2	632	104801
3	820	101792
4	859	85119
5	1061	87375
6	1292	91062
7	1521	93571
8	1617	88269
9	1697	83191
10	1914	85106
11	2131	86663
12	2244	84097
13	2459	85391
14	2677	86571
15	2898	87683
16	3149	89470
17	3255	87170
18	3457	87537
19	3782	90771
20	4029	91907
21	4232	91968
22	4452	92335
23	4669	92606
24	4846	92084
25	4885	89059
26	5088	89148
27	5299	89326
28	5527	89778
29	5632	88243
30	5847	88470
31	6087	89024
32	6302	89185
33	6374	87373
34	6603	87738
35	6822	87938
36	6920	86603
37	7019	85343
38	7226	85424
39	7336	84372
40	7377	82595
41	7621	83105
42	7687	81705
43	7702	79829
44	7916	80040
45	8121	80155
46	8313	80126
47	8520	80237
48	8779	80810
49	8979	80815
50	9197	80978
51	9397	80965
52	9632	81237
53	9904	81803
54	10129	81954
55	10154	80510
56	10378	80659
57	10606	80826
58	10831	80957
59	11050	81038
60	11304	81352
61	11574	81766
62	11801	81860
63	12002	81764
64	12046	80618
65	12283	80774
66	12397	80122
67	12414	78868
68	12587	78623
69	12787	78551
70	12829	77516
71	12894	76651
72	13027	76204
73	13234	76187
74	13452	76232
75	13642	76109
76	13878	76243
77	14122	76408
78	14229	75831
79	14458	75905
80	14504	75031
81	14733	75103
82	14780	74258
83	14987	74224
84	15044	73453
85	15229	73315
86	15319	72723
87	15408	72137
88	15454	71367
89	15682	71443
90	15796	70996
91	15835	70226
92	16034	70173
93	16247	70176
94	16313	69545
95	16517	69509
96	16727	69498
97	16749	68707
98	16785	67990
99	16800	67203
100	16817	66438
101	17023	66426
102	17069	65793
103	17138	65257
104	17178	64625
105	17195	63913
106	17410	63946
107	17590	63848
108	17806	63875
109	18054	64010
110	18125	63519
111	18192	63022
112	18396	63005
113	18638	63108
114	18834	63055
115	18953	62742
116	19164	62736
117	19395	62788
118	19442	62248
119	19645	62209
120	19871	62241
121	20115	62325
122	20338	62337
123	20545	62298
124	20615	61847
125	20860	61918
126	21133	62068
127	21358	62072
128	21428	61628
129	21549	61331
130	21767	61314
131	21991	61310
132	22210	61288
133	22455	61334
134	22675	61307
135	22884	61249
136	23097	61200
137	23318	61167
138	23553	61170
139	23794	61185
140	24015	61144
141	24226	61077
142	24429	60989
143	24665	60977
144	24885	60926
145	24972	60550
146	25200	60514
147	25414	60446
148	25634	60387
149	25855	60330
150	26094	60310
151	26288	60186
152	26484	60065
153	26688	59961
154	26901	59876
155	27110	59782
156	27328	59704
157	27558	59651
158	27780	59579
159	27971	59439
160	28167	59309
161	28367	59186
162	28626	59185
163	28832	59071
164	29042	58964
165	29231	58814
166	29479	58781
167	29692	58678
168	29911	58583
169	30105	58440
170	30329	58353
171	30552	58262
172	30774	58168
173	30972	58028
174	31194	57933
175	31424	57850
176	31619	57701
177	31825	57572
178	32086	57539
179	32284	57395
180	32494	57268
181	32689	57116
