iter	Passed	Remaining
182	32895	56983
183	33111	56864
184	33333	56756
185	33534	56611
186	33738	56470
187	33955	56352
188	34171	56228
189	34396	56121
190	34598	55973
191	34822	55860
192	35079	55799
193	35283	55654
194	35530	55572
195	35795	55519
196	36037	55428
197	36248	55288
198	36466	55158
199	36692	55038
200	36906	54900
201	37113	54752
202	37323	54606
203	37523	54445
204	37727	54290
205	37936	54141
206	38139	53985
207	38337	53820
208	38537	53656
209	38750	53513
210	38963	53367
211	39206	53262
212	39449	53155
213	39676	53025
214	39932	52933
215	40181	52831
216	40391	52676
217	40613	52536
218	40825	52383
219	41069	52270
220	41279	52112
221	41536	52014
222	41775	51891
223	41990	51737
224	42177	51549
225	42392	51396
226	42592	51223
227	42819	51082
228	43072	50971
229	43365	50907
230	43581	50750
231	43810	50608
232	44028	50452
233	44252	50304
234	44504	50185
235	44742	50050
236	44970	49904
237	45187	49744
238	45391	49569
239	45609	49409
240	45814	49236
241	46046	49090
242	46263	48928
243	46490	48776
244	46691	48597
245	46904	48429
246	47101	48245
247	47314	48077
248	47527	47909
249	47718	47718
250	47907	47525
251	48095	47332
252	48311	47166
253	48545	47016
254	48784	46871
255	48996	46699
256	49221	46540
257	49448	46381
258	49686	46233
259	49897	46059
260	50125	45900
261	50360	45747
262	50589	45588
263	50827	45436
264	51055	45275
265	51297	45126
266	51508	44949
267	51728	44780
268	51923	44588
269	52176	44446
270	52430	44304
271	52663	44144
272	52893	43980
273	53096	43794
274	53359	43657
275	53630	43525
276	53852	43354
277	54104	43205
278	54341	43044
279	54568	42875
280	54778	42692
281	55026	42538
282	55251	42366
283	55468	42187
284	55709	42026
285	55911	41836
286	56152	41674
287	56368	41493
288	56588	41315
289	56819	41145
290	57024	40955
291	57232	40768
292	57450	40588
293	57649	40394
294	57866	40212
295	58064	40017
296	58276	39832
297	58491	39648
298	58718	39472
299	58930	39287
300	59144	39101
301	59341	38906
302	59531	38704
303	59745	38520
304	59945	38325
305	60153	38136
306	60382	37960
307	60607	37781
308	60835	37603
309	61076	37434
310	61310	37259
311	61517	37068
312	61738	36885
313	61954	36699
314	62152	36502
315	62365	36314
316	62583	36128
317	62814	35950
318	63067	35784
319	63274	35591
320	63494	35406
321	63693	35209
322	63924	35029
323	64146	34845
324	64384	34668
325	64609	34484
326	64835	34301
327	65065	34119
328	65285	33932
329	65499	33742
330	65712	33551
331	65974	33384
332	66198	33198
333	66396	32999
334	66604	32805
335	66828	32618
336	67091	32450
337	67290	32251
338	67513	32063
339	67730	31873
340	67988	31701
341	68209	31511
342	68415	31315
343	68655	31134
344	68896	30953
345	69107	30758
346	69302	30556
347	69519	30364
348	69713	30162
349	69915	29963
350	70148	29778
351	70378	29590
352	70592	29397
353	70789	29195
354	71007	29003
355	71200	28800
356	71414	28605
357	71659	28423
358	71886	28233
359	72121	28047
360	72322	27847
361	72563	27662
362	72770	27464
363	72972	27264
364	73205	27075
365	73467	26897
366	73688	26704
367	73915	26513
368	74114	26311
369	74332	26116
370	74553	25922
371	74780	25731
372	74995	25534
373	75224	25342
374	75447	25149
375	75695	24963
376	75924	24771
377	76137	24573
378	76410	24395
379	76632	24199
380	76848	24002
381	77054	23802
382	77274	23605
383	77505	23413
384	77731	23218
385	77978	23029
386	78191	22831
387	78397	22630
388	78620	22434
389	78842	22237
390	79066	22041
391	79293	21846
392	79585	21668
393	79814	21473
394	80028	21273
395	80255	21077
396	80498	20884
397	80726	20688
398	80967	20495
399	81177	20294
400	81402	20096
401	81594	19891
402	81802	19689
403	81988	19482
404	82194	19280
405	82399	19077
406	82600	18874
407	82813	18673
408	83025	18472
409	83234	18270
410	83434	18067
411	83667	17870
412	83881	17669
413	84141	17478
414	84393	17285
415	84628	17088
416	84861	16890
417	85084	16691
418	85291	16488
419	85526	16290
420	85745	16090
421	85986	15893
422	86212	15693
423	86433	15492
424	86652	15291
425	86859	15088
426	87093	14889
427	87297	14685
428	87519	14484
429	87769	14288
430	88035	14093
431	88250	13891
432	88497	13693
433	88694	13488
434	88909	13285
435	89153	13086
436	89451	12895
437	89688	12695
438	89959	12500
439	90211	12301
440	90450	12101
441	90659	11896
442	90894	11695
443	91137	11494
444	91398	11296
445	91651	11096
446	91912	10897
447	92171	10698
448	92411	10496
449	92658	10295
450	92906	10094
451	93141	9891
452	93385	9688
453	93675	9491
454	93949	9291
455	94187	9088
456	94413	8883
457	94644	8679
458	94876	8474
459	95140	8273
460	95392	8070
461	95613	7864
462	95829	7658
463	96030	7450
464	96272	7246
465	96558	7045
466	96797	6840
467	96997	6632
468	97257	6428
469	97531	6225
470	97748	6018
471	97969	5811
472	98173	5603
473	98388	5396
474	98647	5191
475	98879	4985
476	99088	4777
477	99316	4571
478	99556	4364
479	99801	4158
480	100030	3951
481	100238	3743
482	100474	3536
483	100702	3329
484	100927	3121
485	101161	2914
486	101378	2706
487	101575	2497
488	101802	2290
489	102043	2082
490	102252	1874
491	102455	1665
492	102629	1457
493	102835	1249
494	103034	1040
495	103257	832
496	103483	624
497	103696	416
498	103907	208
499	104139	0
