iter	RMSE
0	54.74300464
1	54.11025139
2	53.3385138
3	52.74653467
4	52.4262148
5	51.95768103
6	51.51908372
7	51.16200118
8	50.96002267
9	50.76935362
10	50.46350866
11	50.20689205
12	49.99864047
13	49.79713064
14	49.6443481
15	49.45287069
16	49.32605
17	49.28185108
18	49.18605123
19	49.07093483
20	48.98146639
21	48.91655571
22	48.87640492
23	48.82175711
24	48.74275349
25	48.73401514
26	48.67977909
27	48.63620826
28	48.54720926
29	48.52337645
30	48.49329274
31	48.45926117
32	48.42620414
33	48.4197123
34	48.34333284
35	48.31681253
36	48.30833463
37	48.28840537
38	48.25332519
39	48.23072799
40	48.22694149
41	48.19166607
42	48.18819047
43	48.18819045
44	48.16863958
45	48.13772481
46	48.1284613
47	48.10528846
48	48.07164155
49	48.06020561
50	48.03993467
51	48.03165687
52	48.01551435
53	48.00256749
54	47.98539037
55	47.98539036
56	47.96209831
57	47.94988109
58	47.93994108
59	47.91344219
60	47.86204874
61	47.82510483
62	47.81245302
63	47.80275005
64	47.80232278
65	47.78284428
66	47.78132833
67	47.78132832
68	47.77785079
69	47.76428533
70	47.76401577
71	47.76252938
72	47.75858705
73	47.75364621
74	47.72469385
75	47.68087322
76	47.6709745
77	47.65860434
78	47.65817029
79	47.64929253
80	47.64817995
81	47.57825655
82	47.57815047
83	47.55173571
84	47.55118999
85	47.54319361
86	47.54113402
87	47.53599292
88	47.53587302
89	47.51976815
90	47.51948112
91	47.51805567
92	47.51216012
93	47.48340449
94	47.48258207
95	47.45721261
96	47.4519136
97	47.45191359
98	47.45190828
99	47.45190827
100	47.45190826
101	47.44041383
102	47.44041382
103	47.43810765
104	47.43605122
105	47.43605121
106	47.43182302
107	47.42976429
108	47.42512092
109	47.41391708
110	47.41352898
111	47.41274943
112	47.4030525
113	47.37693862
114	47.26097572
115	47.25988692
116	47.25411486
117	47.24334467
118	47.24251546
119	47.23516633
120	47.22876582
121	47.2155099
122	47.19918795
123	47.19105431
124	47.18131281
125	47.17422978
126	47.14804566
127	47.12969198
128	47.12669674
129	47.12220619
130	47.02906326
131	47.00131546
132	46.98057226
133	46.96889806
134	46.95751179
135	46.88434425
136	46.87398567
137	46.84746314
138	46.82332674
139	46.79628633
140	46.77431036
141	46.75988501
142	46.74016688
143	46.71115974
144	46.68693805
145	46.68684344
146	46.66881641
147	46.64793294
148	46.61294469
149	46.53263509
150	46.5141902
151	46.50025531
152	46.48324111
153	46.42287682
154	46.36378056
155	46.31278429
156	46.27217677
157	46.24771759
158	46.23513032
159	46.21857286
160	46.19526072
161	46.19503087
162	46.17541816
163	46.16239113
164	46.1306123
165	46.08624409
166	46.06260495
167	46.03812707
168	46.00546273
169	45.98354533
170	45.96725992
171	45.95656382
172	45.9339728
173	45.91381421
174	45.9038547
175	45.88763727
176	45.86705433
177	45.85155051
178	45.83905397
179	45.81745957
180	45.79873239
181	45.78829838
182	45.77746748
183	45.77694152
184	45.77670277
185	45.76126401
186	45.75751899
187	45.74821263
188	45.74752319
189	45.73910266
190	45.72225537
191	45.71867939
192	45.71156466
193	45.70195153
194	45.68922032
195	45.67641044
196	45.65684981
197	45.64150119
198	45.64130337
199	45.62923695
200	45.60752053
201	45.59307033
202	45.59292353
203	45.5923486
204	45.56964889
205	45.56923148
206	45.55121131
207	45.55090351
208	45.53826786
209	45.52915193
210	45.52873342
211	45.51110875
212	45.50008392
213	45.49170694
214	45.47823629
215	45.46640751
216	45.46565817
217	45.46552531
218	45.45540097
219	45.44828388
220	45.42995716
221	45.4133233
222	45.40560025
223	45.39476944
224	45.39464927
225	45.39448451
226	45.39435349
227	45.3770394
228	45.37182261
229	45.35650352
230	45.35057671
231	45.33675436
232	45.32727181
233	45.32231985
234	45.31192098
235	45.28804042
236	45.28785175
237	45.28754735
238	45.28171487
239	45.27491954
240	45.27486926
241	45.27379374
242	45.26415009
243	45.25663244
244	45.25641434
245	45.25630562
246	45.25619926
247	45.24524378
248	45.24447757
249	45.24438227
250	45.24431453
251	45.24409394
252	45.23653276
253	45.23203756
254	45.23129694
255	45.2312439
256	45.22848521
257	45.22412097
258	45.21737535
259	45.21711361
260	45.21651652
261	45.21643439
262	45.21641378
263	45.21633918
264	45.20733404
265	45.20047119
266	45.20041186
267	45.18817737
268	45.18799239
269	45.18276779
270	45.16996046
271	45.15352199
272	45.15334118
273	45.14092701
274	45.13065637
275	45.12399464
276	45.12283798
277	45.1091655
278	45.10082196
279	45.0973557
280	45.09627849
281	45.09245411
282	45.08340659
283	45.07336948
284	45.06819469
285	45.06811907
286	45.05912424
287	45.05881544
288	45.05842939
289	45.05397403
290	45.05371732
291	45.045066
292	45.03980139
293	45.03957995
294	45.03929582
295	45.03909458
296	45.03426075
297	45.03359442
298	45.02025113
299	45.01812145
300	45.0165812
301	45.01656882
302	45.01085529
303	45.01057277
304	45.00175127
305	44.99546558
306	44.98852843
307	44.98383372
308	44.97726806
309	44.96931188
310	44.96453992
311	44.96000873
312	44.94296497
313	44.93401523
314	44.93333467
315	44.93332702
316	44.92772352
317	44.92384382
318	44.91796583
319	44.9178717
320	44.91337788
321	44.9023091
322	44.88931355
323	44.88357213
324	44.87692095
325	44.8760018
326	44.86632153
327	44.85606544
328	44.85133057
329	44.84388297
330	44.84351042
331	44.833485
332	44.82944557
333	44.82916542
334	44.81652375
335	44.80918635
336	44.80192989
337	44.79642704
338	44.79418576
339	44.79409668
340	44.78854521
341	44.78807697
342	44.78173374
343	44.77049734
344	44.76247165
345	44.76141757
346	44.76137212
347	44.75549095
348	44.7554216
349	44.7504345
350	44.74443776
351	44.73686513
352	44.73596652
353	44.73226963
354	44.72412495
355	44.71617708
356	44.70835458
357	44.70276663
358	44.69840691
359	44.6928152
360	44.68800511
361	44.67908921
362	44.67197767
363	44.66478374
364	44.66003259
365	44.65475033
366	44.64736971
367	44.63933243
368	44.63322573
369	44.62988152
370	44.62492549
371	44.62150887
372	44.61572445
373	44.6129553
374	44.60831847
375	44.59533126
376	44.59491967
377	44.59311775
378	44.58841454
379	44.58490417
380	44.58132635
381	44.57230862
382	44.56557142
383	44.55982977
384	44.55519241
385	44.54890806
386	44.54802752
387	44.53444515
388	44.53432947
389	44.53425902
390	44.53373219
391	44.53309223
392	44.52552823
393	44.52514988
394	44.52066794
395	44.51147717
396	44.50680774
397	44.50444035
398	44.48617555
399	44.48443911
