iter	RMSE
400	44.48135796
401	44.48114981
402	44.47823277
403	44.47626739
404	44.47230182
405	44.46215891
406	44.45943714
407	44.45098043
408	44.45008817
409	44.44035362
410	44.43958323
411	44.43303241
412	44.4329611
413	44.42992475
414	44.4253637
415	44.41187531
416	44.40692751
417	44.40220112
418	44.39491354
419	44.39212166
420	44.38617446
421	44.37513277
422	44.37468268
423	44.37062976
424	44.3633552
425	44.35423757
426	44.34314421
427	44.33858952
428	44.33571386
429	44.326445
430	44.3227228
431	44.3174603
432	44.30970046
433	44.30966732
434	44.30561718
435	44.30532526
436	44.29792371
437	44.29186222
438	44.28488951
439	44.27235614
440	44.26434615
441	44.26404056
442	44.26305009
443	44.25964642
444	44.25150409
445	44.24831937
446	44.23865229
447	44.23272826
448	44.2313296
449	44.22823331
450	44.22621827
451	44.2261328
452	44.2230875
453	44.21531716
454	44.21497188
455	44.2117441
456	44.20485191
457	44.20143869
458	44.19598948
459	44.18852323
460	44.18522546
461	44.18373816
462	44.18341353
463	44.17835456
464	44.17413788
465	44.16623282
466	44.15958827
467	44.15706359
468	44.15331783
469	44.14973308
470	44.14968706
471	44.14353682
472	44.14102073
473	44.13728504
474	44.1311932
475	44.12734626
476	44.12185317
477	44.1209762
478	44.11528244
479	44.10889324
480	44.10653252
481	44.10638327
482	44.10603942
483	44.10250037
484	44.10085689
485	44.0922519
486	44.09112816
487	44.0895547
488	44.08520315
489	44.07959754
490	44.0791594
491	44.07574778
492	44.07557828
493	44.07447528
494	44.06953197
495	44.06910118
496	44.06544766
497	44.0611391
498	44.05597728
499	44.04920941
